160	56	2017-12-20	2017-12-21
161	56	2017-12-20	2017-12-21
162	56	2017-12-20	2017-12-21
163	57	2017-12-20	2017-12-21
164	57	2017-12-20	2017-12-21
165	57	2017-12-20	2017-12-21
166	57	2017-12-20	2017-12-21
64	57	2017-12-20	2017-12-21
17	57	2017-12-20	2017-12-21
167	58	2017-12-20	2017-12-21
168	58	2017-12-20	2017-12-21
169	58	2017-12-20	2017-12-21
170	58	2017-12-20	2017-12-21
171	58	2017-12-20	2017-12-21
172	58	2017-12-20	2017-12-21
173	59	2017-12-20	2017-12-21
174	59	2017-12-20	2017-12-21
175	59	2017-12-20	2017-12-21
176	59	2017-12-20	2017-12-21
177	59	2017-12-20	2017-12-21
178	60	2017-12-20	2017-12-21
179	60	2017-12-20	2017-12-21
180	60	2017-12-20	2017-12-21
181	61	2017-12-20	2017-12-21
182	61	2017-12-20	2017-12-21
183	61	2017-12-20	2017-12-21
184	62	2017-12-20	2017-12-21
185	62	2017-12-20	2017-12-21
186	63	2017-12-20	2017-12-21
187	63	2017-12-20	2017-12-21
188	63	2017-12-20	2017-12-21
189	64	2017-12-20	2017-12-21
190	64	2017-12-20	2017-12-21
170	64	2017-12-20	2017-12-21
191	64	2017-12-20	2017-12-21
192	64	2017-12-20	2017-12-21
193	65	2017-12-20	2017-12-21
194	65	2017-12-20	2017-12-21
195	66	2017-12-20	2017-12-21
196	66	2017-12-20	2017-12-21
197	67	2017-12-20	2017-12-21
198	67	2017-12-20	2017-12-21
17	67	2017-12-20	2017-12-21
199	67	2017-12-20	2017-12-21
64	68	2017-12-20	2017-12-21
81	69	2017-12-20	2017-12-21
200	69	2017-12-20	2017-12-21
201	70	2017-12-20	2017-12-21
202	70	2017-12-20	2017-12-21
203	70	2017-12-20	2017-12-21
204	71	2017-12-20	2017-12-21
205	71	2017-12-20	2017-12-21
206	71	2017-12-20	2017-12-21
207	72	2017-12-20	2017-12-21
208	72	2017-12-20	2017-12-21
209	72	2017-12-20	2017-12-21
64	72	2017-12-20	2017-12-21
210	73	2017-12-20	2017-12-21
211	73	2017-12-20	2017-12-21
212	73	2017-12-20	2017-12-21
213	73	2017-12-20	2017-12-21
214	74	2017-12-20	2017-12-21
195	74	2017-12-20	2017-12-21
196	74	2017-12-20	2017-12-21
215	75	2017-12-20	2017-12-21
17	75	2017-12-20	2017-12-21
216	75	2017-12-20	2017-12-21
217	75	2017-12-20	2017-12-21
218	76	2017-12-20	2017-12-21
219	76	2017-12-20	2017-12-21
220	76	2017-12-20	2017-12-21
221	77	2017-12-20	2017-12-21
222	77	2017-12-20	2017-12-21
223	77	2017-12-20	2017-12-21
41	77	2017-12-20	2017-12-21
64	78	2017-12-20	2017-12-21
184	79	2017-12-20	2017-12-21
185	79	2017-12-20	2017-12-21
224	80	2017-12-20	2017-12-21
225	80	2017-12-20	2017-12-21
45	80	2017-12-20	2017-12-21
226	80	2017-12-20	2017-12-21
227	81	2017-12-20	2017-12-21
228	81	2017-12-20	2017-12-21
75	81	2017-12-20	2017-12-21
229	82	2017-12-20	2017-12-21
230	82	2017-12-20	2017-12-21
231	82	2017-12-20	2017-12-21
232	82	2017-12-20	2017-12-21
140	82	2017-12-20	2017-12-21
4	83	2017-12-20	2017-12-21
233	83	2017-12-20	2017-12-21
5	83	2017-12-20	2017-12-21
234	83	2017-12-20	2017-12-21
6	83	2017-12-20	2017-12-21
235	84	2017-12-20	2017-12-21
236	84	2017-12-20	2017-12-21
237	84	2017-12-20	2017-12-21
238	84	2017-12-20	2017-12-21
239	85	2017-12-20	2017-12-21
240	85	2017-12-20	2017-12-21
241	85	2017-12-20	2017-12-21
64	86	2017-12-20	2017-12-21
